encoding,char,error-message
cb5e,灴,BadArguments
cb5f,灺,BadArguments
cb61,犿,BadArguments
cb62,犽,BadArguments
cb64,狆,BadArguments
cb65,狁,BadArguments
cb67,狅,BadArguments
cb69,玗,BadArguments
cb6a,玓,BadArguments
cb6b,玔,BadArguments
cb6c,玒,BadArguments
cb6e,甹,BadArguments
cb70,疕,BadArguments
cb72,礽,BadArguments
cb73,耴,BadArguments
cb74,肕,BadArguments
cb75,肙,BadArguments
cb77,肒,BadArguments
cb78,肜,BadArguments
cb79,芐,BadArguments
cb7a,芏,BadArguments
cb7b,芅,BadArguments
cb7d,芑,BadArguments
cb7e,芓,BadArguments
cba4,豸,BadArguments
cba5,迉,BadArguments
cba6,辿,BadArguments
cba7,邟,BadArguments
cba8,邡,BadArguments
cba9,邥,BadArguments
cbaa,邞,BadArguments
cbab,邧,BadArguments
cbad,阰,BadArguments
cbb0,阭,BadArguments
cbb1,丳,BadArguments
cbb4,侅,BadArguments
cbb5,佽,BadArguments
cbb6,侀,BadArguments
cbb7,侇,BadArguments
cbb8,佶,BadArguments
cbb9,佴,BadArguments
cbbc,佷,BadArguments
cbbd,佌,BadArguments
cbbf,佪,BadArguments
cbc0,侚,BadArguments
cbc1,佹,BadArguments
cbc2,侁,BadArguments
cbc3,佸,BadArguments
cbc4,侐,BadArguments
cbc7,侞,BadArguments
cbc8,侒,BadArguments
cbc9,侂,BadArguments
cbca,侕,BadArguments
cbcb,佫,BadArguments
cbcc,佮,BadArguments
cbcd,冞,BadArguments
cbce,冼,BadArguments
cbcf,冾,BadArguments
cbd3,剆,BadArguments
cbd5,劼,BadArguments
cbd6,匊,BadArguments
cbd7,匋,BadArguments
cbd8,匼,BadArguments
cbd9,厒,BadArguments
cbda,厔,BadArguments
cbdb,咇,BadArguments
cbe0,咈,BadArguments
cbe2,呺,BadArguments
cbe3,呾,BadArguments
cbe4,呥,BadArguments
cbe5,呬,BadArguments
cbe6,呴,BadArguments
cbe9,呯,BadArguments
cbea,呡,BadArguments
cbeb,呠,BadArguments
cbec,咘,BadArguments
cbee,呧,BadArguments
cbef,呤,BadArguments
cbf0,囷,BadArguments
cbf3,坲,BadArguments
cbf4,坭,BadArguments
cbf5,坫,BadArguments
cbf6,坱,BadArguments
cbf8,坶,BadArguments
cbf9,垀,BadArguments
cbfd,坴,BadArguments
cbfe,坢,BadArguments
cc41,坽,BadArguments
cc42,夌,BadArguments
cc43,奅,BadArguments
cc44,妵,BadArguments
cc45,妺,BadArguments
cc46,姏,BadArguments
cc47,姎,BadArguments
cc48,妲,BadArguments
cc4a,姁,BadArguments
cc4b,妶,BadArguments
cc4c,妼,BadArguments
cc4d,姃,BadArguments
cc4e,姖,BadArguments
cc4f,妱,BadArguments
cc50,妽,BadArguments
cc51,姀,BadArguments
cc52,姈,BadArguments
cc53,妴,BadArguments
cc54,姇,BadArguments
cc55,孢,BadArguments
cc5a,屇,BadArguments
cc5b,岮,BadArguments
cc5c,岤,BadArguments
cc5d,岠,BadArguments
cc5f,岯,BadArguments
cc60,岨,BadArguments
cc62,岟,BadArguments
cc63,岣,BadArguments
cc64,岭,BadArguments
cc65,岢,BadArguments
cc66,岪,BadArguments
cc68,岝,BadArguments
cc69,岥,BadArguments
cc6a,岶,BadArguments
cc6b,岰,BadArguments
cc6c,岦,BadArguments
cc6d,帗,BadArguments
cc70,弨,BadArguments
cc72,弣,BadArguments
cc76,彾,BadArguments
cc77,彽,BadArguments
cc78,忞,BadArguments
cc79,忥,BadArguments
cc7a,怭,BadArguments
cc7d,怲,BadArguments
cc7e,怋,BadArguments
cca1,怴,BadArguments
cca2,怊,BadArguments
cca4,怳,BadArguments
cca5,怚,BadArguments
cca6,怞,BadArguments
cca7,怬,BadArguments
cca8,怢,BadArguments
ccaa,怐,BadArguments
ccab,怮,BadArguments
ccad,怑,BadArguments
ccae,怌,BadArguments
ccaf,怉,BadArguments
ccb0,怜,BadArguments
ccb3,抭,BadArguments
ccb4,抴,BadArguments
ccb6,抾,BadArguments
ccb7,抪,BadArguments
ccb8,抶,BadArguments
ccba,抮,BadArguments
ccbb,抳,BadArguments
ccbc,抯,BadArguments
ccbe,抩,BadArguments
ccbf,抰,BadArguments
ccc0,抸,BadArguments
ccc1,攽,BadArguments
ccc2,斨,BadArguments
ccc3,斻,BadArguments
ccc5,旼,BadArguments
ccc6,昄,BadArguments
ccc7,昒,BadArguments
ccc8,昈,BadArguments
cccb,昋,BadArguments
cccc,昍,BadArguments
cccd,昅,BadArguments
ccce,旽,BadArguments
cccf,昑,BadArguments
ccd0,昐,BadArguments
ccd1,曶,BadArguments
ccd2,朊,BadArguments
ccd3,枅,BadArguments
ccd4,杬,BadArguments
ccd5,枎,BadArguments
ccd7,杶,BadArguments
ccd8,杻,BadArguments
ccda,枆,BadArguments
ccdc,杴,BadArguments
ccdd,枍,BadArguments
ccdf,杺,BadArguments
cce1,枑,BadArguments
cce2,枙,BadArguments
